X,Y,Depth(m)
-80.21948575973511,34.58326578140259,1.74
-80.21944284439087,34.58326578140259,1.73
-80.21939992904663,34.58326578140259,1.73
-80.21935701370239,34.58326578140259,1.71
-80.21931409835815,34.58326578140259,1.7
-80.21927118301392,34.58326578140259,1.68
-80.21922826766968,34.58326578140259,1.65
-80.21918535232544,34.58326578140259,1.6
-80.2191424369812,34.58326578140259,1.61
-80.21909952163696,34.58326578140259,1.53
-80.21905660629272,34.58326578140259,1.51
-80.21901369094849,34.58326578140259,1.49
-80.21897077560425,34.58326578140259,1.49
-80.21957159042358,34.58322286605835,1.78
-80.21952867507935,34.58322286605835,1.77
-80.21948575973511,34.58322286605835,1.76
-80.21944284439087,34.58322286605835,1.74
-80.21939992904663,34.58322286605835,1.74
-80.21935701370239,34.58322286605835,1.71
-80.21931409835815,34.58322286605835,1.69
-80.21927118301392,34.58322286605835,1.66
-80.21922826766968,34.58322286605835,1.62
-80.21918535232544,34.58322286605835,1.56
-80.2191424369812,34.58322286605835,1.56
-80.21909952163696,34.58322286605835,1.5
-80.21905660629272,34.58322286605835,1.48
-80.21901369094849,34.58322286605835,1.46
-80.21897077560425,34.58322286605835,1.47
-80.21892786026001,34.58322286605835,1.42
-80.21888494491577,34.58322286605835,1.43
-80.21884202957153,34.58322286605835,1.43
-80.2187991142273,34.58322286605835,1.43
-80.21875619888306,34.58322286605835,1.41
-80.21961450576782,34.58317995071411,1.85
-80.21957159042358,34.58317995071411,1.82
-80.21952867507935,34.58317995071411,1.79
-80.21948575973511,34.58317995071411,1.77
-80.21944284439087,34.58317995071411,1.75
-80.21939992904663,34.58317995071411,1.74
-80.21935701370239,34.58317995071411,1.71
-80.21931409835815,34.58317995071411,1.69
-80.21927118301392,34.58317995071411,1.66
-80.21922826766968,34.58317995071411,1.62
-80.21918535232544,34.58317995071411,1.55
-80.2191424369812,34.58317995071411,1.55
-80.21909952163696,34.58317995071411,1.49
-80.21905660629272,34.58317995071411,1.47
-80.21901369094849,34.58317995071411,1.45
-80.21897077560425,34.58317995071411,1.46
-80.21892786026001,34.58317995071411,1.42
-80.21888494491577,34.58317995071411,1.43
-80.21884202957153,34.58317995071411,1.41
-80.2187991142273,34.58317995071411,1.42
-80.21875619888306,34.58317995071411,1.41
-80.21871328353882,34.58317995071411,1.41
-80.21965742111206,34.58313703536987,1.94
-80.21961450576782,34.58313703536987,1.89
-80.21957159042358,34.58313703536987,1.86
-80.21952867507935,34.58313703536987,1.83
-80.21948575973511,34.58313703536987,1.8
-80.21944284439087,34.58313703536987,1.78
-80.21939992904663,34.58313703536987,1.76
-80.21935701370239,34.58313703536987,1.73
